성별,연령,교육수준,소득,생활만족도,정치관심도
여성,46,대학원이상,,5.0,4
여성,28,고졸이하,323.0,1.0,4
여성,34,고졸이하,426.0,3.0,3
남성,58,대학원이상,454.0,3.0,4
여성,45,대졸,382.0,3.0,2
남성,25,고졸이하,50.0,3.0,2
여성,60,고졸이하,295.0,3.0,4
여성,38,대졸,133.0,1.0,2
남성,19,대졸,378.0,3.0,1
남성,24,대졸,501.0,4.0,2
남성,24,고졸이하,50.0,2.0,2
여성,50,대학원이상,426.0,2.0,5
남성,39,대졸,249.0,4.0,4
남성,25,고졸이하,227.0,3.0,3
여성,41,고졸이하,107.0,3.0,1
여성,26,고졸이하,159.0,2.0,3
여성,32,대졸,137.0,1.0,2
여성,42,대학원이상,427.0,2.0,1
여성,43,대졸,301.0,4.0,4
여성,45,대졸,319.0,2.0,3
남성,32,고졸이하,310.0,3.0,2
남성,57,대학원이상,299.0,3.0,1
남성,28,대졸,173.0,2.0,3
남성,34,대졸,156.0,4.0,1
남성,30,대졸,257.0,4.0,2
여성,31,대학원이상,426.0,5.0,1
여성,35,고졸이하,91.0,1.0,3
여성,47,대학원이상,,3.0,5
여성,60,대졸,431.0,5.0,1
남성,47,고졸이하,369.0,1.0,2
남성,19,고졸이하,350.0,3.0,5
여성,54,고졸이하,134.0,4.0,4
여성,34,대학원이상,671.0,4.0,3
여성,47,대졸,323.0,5.0,4
여성,47,대졸,187.0,4.0,3
여성,33,대졸,245.0,3.0,5
여성,54,고졸이하,168.0,5.0,4
여성,25,고졸이하,130.0,2.0,3
남성,36,대졸,,5.0,2
남성,49,고졸이하,102.0,3.0,4
여성,48,대졸,310.0,5.0,2
남성,48,대졸,453.0,5.0,2
남성,36,고졸이하,50.0,3.0,5
여성,58,대학원이상,449.0,3.0,3
여성,24,대졸,281.0,4.0,2
남성,65,고졸이하,152.0,5.0,1
여성,52,대졸,280.0,5.0,1
여성,36,대졸,102.0,3.0,4
남성,60,대학원이상,315.0,3.0,2
여성,45,고졸이하,50.0,3.0,1
남성,62,대졸,644.0,4.0,4
여성,43,고졸이하,151.0,5.0,3
남성,43,고졸이하,342.0,4.0,3
남성,54,대졸,183.0,3.0,3
남성,52,대졸,232.0,2.0,2
여성,39,대학원이상,483.0,2.0,2
남성,19,대학원이상,520.0,2.0,5
여성,52,대졸,323.0,3.0,4
여성,60,고졸이하,477.0,3.0,1
남성,35,대졸,,3.0,2
여성,38,대졸,278.0,3.0,3
남성,32,대졸,57.0,4.0,2
여성,42,대졸,323.0,1.0,3
남성,31,고졸이하,50.0,3.0,5
여성,46,고졸이하,200.0,1.0,5
여성,40,대졸,392.0,,3
여성,63,고졸이하,309.0,2.0,2
여성,19,대졸,159.0,3.0,1
여성,30,고졸이하,206.0,3.0,1
여성,26,대졸,288.0,3.0,3
여성,35,대졸,50.0,3.0,4
남성,40,대졸,303.0,3.0,3
남성,41,대학원이상,474.0,5.0,2
남성,39,대졸,306.0,5.0,3
여성,41,대졸,307.0,4.0,3
여성,50,고졸이하,114.0,3.0,3
여성,24,대학원이상,582.0,3.0,3
남성,65,대학원이상,213.0,4.0,3
남성,65,대학원이상,433.0,3.0,2
남성,52,대졸,465.0,3.0,3
여성,19,대학원이상,514.0,5.0,2
남성,35,대학원이상,593.0,3.0,4
남성,55,고졸이하,225.0,3.0,2
여성,52,대졸,352.0,1.0,1
남성,45,대학원이상,558.0,3.0,3
남성,51,고졸이하,345.0,5.0,5
남성,37,대졸,365.0,2.0,5
여성,24,대졸,323.0,4.0,2
여성,40,고졸이하,122.0,1.0,1
남성,34,대학원이상,507.0,3.0,5
여성,35,대졸,50.0,3.0,3
여성,51,고졸이하,408.0,3.0,5
여성,46,대졸,573.0,4.0,3
남성,40,고졸이하,161.0,5.0,3
여성,51,고졸이하,174.0,2.0,2
남성,31,대학원이상,470.0,4.0,3
남성,44,대학원이상,579.0,2.0,4
남성,19,고졸이하,256.0,5.0,2
여성,64,고졸이하,220.0,2.0,2
남성,41,대학원이상,537.0,3.0,3
여성,25,대졸,445.0,1.0,3
여성,43,대졸,372.0,5.0,3
남성,38,고졸이하,151.0,3.0,2
여성,33,대졸,,5.0,5
남성,42,고졸이하,427.0,4.0,3
남성,29,대졸,452.0,4.0,3
남성,38,대학원이상,,1.0,1
남성,44,대졸,164.0,2.0,3
남성,37,대졸,206.0,4.0,2
남성,19,대졸,155.0,4.0,4
남성,42,대졸,275.0,3.0,1
여성,32,대졸,538.0,2.0,3
여성,30,대졸,466.0,5.0,4
여성,43,대졸,276.0,3.0,3
남성,36,고졸이하,404.0,,1
남성,39,대졸,332.0,3.0,3
여성,33,대졸,342.0,4.0,2
여성,19,대학원이상,388.0,,5
여성,19,대학원이상,583.0,3.0,3
여성,52,고졸이하,188.0,2.0,5
남성,44,고졸이하,146.0,2.0,1
남성,46,고졸이하,107.0,4.0,3
남성,47,대졸,270.0,5.0,5
여성,46,대졸,425.0,4.0,4
여성,56,대학원이상,467.0,1.0,3
남성,46,고졸이하,216.0,5.0,2
여성,40,고졸이하,332.0,3.0,2
남성,51,대졸,285.0,5.0,1
남성,39,고졸이하,302.0,2.0,2
여성,46,고졸이하,305.0,5.0,3
여성,47,대학원이상,365.0,3.0,5
여성,32,대졸,426.0,4.0,5
여성,50,대졸,435.0,3.0,2
여성,49,대학원이상,560.0,3.0,3
남성,28,대학원이상,333.0,4.0,1
